WKT,nome,descrição
"POLYGON ((-52.338899 -31.78225, -52.339607 -31.78363, -52.339407 -31.783713, -52.339288 -31.783498, -52.339092 -31.783477, -52.338979 -31.783458, -52.338737 -31.78327, -52.338603 -31.783292, -52.337735 -31.782864, -52.337432 -31.78275, -52.337254 -31.782645, -52.337288 -31.782509, -52.337907 -31.782538, -52.337998 -31.782464, -52.338899 -31.78225))",Evacuação Imediata,
"GEOMETRYCOLLECTION (POLYGON ((-52.338374 -31.781142, -52.338376 -31.78113, -52.338381 -31.78114, -52.338374 -31.781142)), POLYGON ((-52.338381 -31.78114, -52.3447 -31.77935, -52.345159 -31.780451, -52.34557 -31.781441, -52.346143 -31.783194, -52.346363 -31.783951, -52.346408 -31.784137, -52.346592 -31.784294, -52.34611 -31.784993, -52.345805 -31.785264, -52.345708 -31.785715, -52.344465 -31.785401, -52.344239 -31.785837, -52.343796 -31.785875, -52.343441 -31.785839, -52.343136 -31.785745, -52.342729 -31.785429, -52.342432 -31.785367, -52.342282 -31.785128, -52.342171 -31.784981, -52.341752 -31.784837, -52.340708 -31.784404, -52.340069 -31.784085, -52.339898 -31.784008, -52.339573 -31.783632, -52.338381 -31.78114)))",Risco alto,
"POLYGON ((-52.146661 -31.697201, -52.146804 -31.696864, -52.149555 -31.696709, -52.15004 -31.696605, -52.150239 -31.696606, -52.150315 -31.696388, -52.150601 -31.696235, -52.150727 -31.696499, -52.150596 -31.69678, -52.150894 -31.696997, -52.15109 -31.697193, -52.151566 -31.697263, -52.151992 -31.697204, -52.153197 -31.697606, -52.154047 -31.697952, -52.154445 -31.698251, -52.155431 -31.698682, -52.156243 -31.699087, -52.156817 -31.699465, -52.157018 -31.700005, -52.157301 -31.700525, -52.157898 -31.701337, -52.15865 -31.702572, -52.158858 -31.70314, -52.158905 -31.703574, -52.159199 -31.703845, -52.159574 -31.704151, -52.159793 -31.704411, -52.160008 -31.704604, -52.160029 -31.704705, -52.159724 -31.704905, -52.15765 -31.703636, -52.157209 -31.703234, -52.156841 -31.702933, -52.156331 -31.702473, -52.154552 -31.701714, -52.154318 -31.701538, -52.154686 -31.701039, -52.154434 -31.700451, -52.153543 -31.699926, -52.152783 -31.699362, -52.151664 -31.698833, -52.150978 -31.698867, -52.150761 -31.698735, -52.150798 -31.698546, -52.149334 -31.698058, -52.148666 -31.697831, -52.146661 -31.697201))",Evacuação Imediata,
"POLYGON ((-52.160063 -31.704655, -52.163061 -31.705528, -52.166923 -31.707674, -52.17007 -31.70947, -52.17268 -31.710401, -52.176643 -31.712618, -52.182603 -31.715992, -52.188338 -31.718743, -52.191796 -31.720016, -52.194182 -31.722305, -52.1954 -31.722916, -52.197509 -31.725156, -52.191993 -31.721643, -52.165418 -31.708403, -52.160958 -31.70564, -52.159701 -31.704919, -52.160063 -31.704655))",Evacuação Imediata,
"POLYGON ((-52.230768 -31.777618, -52.231737 -31.774668, -52.230545 -31.774361, -52.230572 -31.774043, -52.225891 -31.773644, -52.225516 -31.7733, -52.22706 -31.768403, -52.239529 -31.771815, -52.240412 -31.7762, -52.238013 -31.776449, -52.23808 -31.777702, -52.237206 -31.777769, -52.236793 -31.774527, -52.235073 -31.774458, -52.234613 -31.775345, -52.235638 -31.776404, -52.234721 -31.778806, -52.230768 -31.777618))",Risco Alto,
"POLYGON ((-52.238123 -31.766466, -52.238187 -31.766729, -52.238206 -31.767236, -52.238334 -31.767743, -52.238871 -31.769249, -52.239764 -31.771563, -52.242612 -31.771324, -52.242921 -31.774283, -52.240461 -31.774503, -52.240527 -31.775257, -52.240845 -31.778523, -52.240965 -31.780006, -52.241593 -31.783663, -52.241642 -31.784978, -52.233914 -31.786259, -52.233443 -31.786262, -52.232768 -31.786393, -52.231225 -31.786532, -52.229466 -31.78651, -52.228166 -31.786482, -52.227458 -31.786604, -52.225968 -31.786433, -52.225474 -31.786492, -52.225084 -31.786547, -52.225085 -31.786557, -52.224391 -31.786587, -52.223722 -31.786677, -52.223456 -31.786633, -52.223383 -31.786716, -52.223049 -31.787141, -52.223135 -31.78742, -52.223 -31.787446, -52.222974 -31.78736, -52.222847 -31.787219, -52.222765 -31.787002, -52.222635 -31.786726, -52.222431 -31.786378, -52.222225 -31.786099, -52.222063 -31.785997, -52.221861 -31.785722, -52.220867 -31.785138, -52.220777 -31.784915, -52.220962 -31.784735, -52.222251 -31.785487, -52.222367 -31.785278, -52.222544 -31.785319, -52.222912 -31.785536, -52.223834 -31.785518, -52.225525 -31.785457, -52.228069 -31.786033, -52.231909 -31.786149, -52.234193 -31.785973, -52.240923 -31.78493, -52.241406 -31.784765, -52.241159 -31.782932, -52.240365 -31.776191, -52.240122 -31.774769, -52.240055 -31.7742, -52.239955 -31.773693, -52.23987 -31.773185, -52.239532 -31.771823, -52.238646 -31.771584, -52.238924 -31.770836, -52.23876 -31.770223, -52.23836 -31.770044, -52.238516 -31.769401, -52.238339 -31.76858, -52.238187 -31.768374, -52.238086 -31.768229, -52.238086 -31.768117, -52.238081 -31.76804, -52.238028 -31.767764, -52.237925 -31.767588, -52.237907 -31.767528, -52.237919 -31.767432, -52.237902 -31.76731, -52.237893 -31.767244, -52.237857 -31.767161, -52.237864 -31.766974, -52.237807 -31.766916, -52.237719 -31.766761, -52.238123 -31.766466))",Evacuação Imediata,
"POLYGON ((-52.228143 -31.761771, -52.227988 -31.758764, -52.227604 -31.755753, -52.227212 -31.755599, -52.227157 -31.755264, -52.22736 -31.755248, -52.227591 -31.755275, -52.227797 -31.755176, -52.228011 -31.755021, -52.228809 -31.754968, -52.229112 -31.755878, -52.229899 -31.758939, -52.230457 -31.761655, -52.228705 -31.761754, -52.228143 -31.761771))",Risco Alto,
"POLYGON ((-52.300918 -31.754767, -52.30281 -31.755738, -52.303954 -31.756119, -52.305657 -31.756634, -52.307335 -31.757278, -52.312452 -31.758066, -52.317529 -31.758972, -52.321736 -31.760257, -52.32453 -31.760978, -52.329504 -31.7627, -52.329758 -31.764059, -52.330856 -31.765386, -52.331507 -31.766274, -52.331314 -31.772824, -52.331025 -31.773668, -52.33001 -31.775152, -52.328429 -31.775888, -52.325252 -31.778544, -52.321472 -31.781941, -52.318152 -31.780471, -52.310462 -31.774029, -52.306671 -31.771102, -52.301452 -31.77054, -52.300794 -31.770193, -52.300477 -31.769864, -52.300361 -31.769644, -52.300276 -31.76948, -52.300255 -31.769088, -52.300298 -31.768881, -52.300317 -31.768686, -52.300299 -31.768467, -52.300319 -31.768267, -52.300435 -31.768073, -52.300918 -31.754767))",Risco Alto,
"POLYGON ((-52.321706 -31.781724, -52.321146 -31.782251, -52.317641 -31.781061, -52.315198 -31.779509, -52.314115 -31.778668, -52.312977 -31.777726, -52.311966 -31.776971, -52.311445 -31.776318, -52.310595 -31.775701, -52.310178 -31.775685, -52.309947 -31.775107, -52.309474 -31.774544, -52.308631 -31.774355, -52.307174 -31.773866, -52.306193 -31.772967, -52.305173 -31.772738, -52.304231 -31.772591, -52.303588 -31.772118, -52.303074 -31.77222, -52.302272 -31.771936, -52.301837 -31.772125, -52.298935 -31.772156, -52.297572 -31.772145, -52.296614 -31.772503, -52.295956 -31.772453, -52.290793 -31.77317, -52.290408 -31.773165, -52.290348 -31.773024, -52.290893 -31.773005, -52.292019 -31.77247, -52.292247 -31.772338, -52.293665 -31.770552, -52.301257 -31.770318, -52.304026 -31.770755, -52.306795 -31.771252, -52.312202 -31.775574, -52.315755 -31.778462, -52.31817 -31.780507, -52.320381 -31.781258, -52.321706 -31.781724))",Evacuação Imediata,
"POLYGON ((-52.286474 -31.759979, -52.285556 -31.759929, -52.284625 -31.760679, -52.283897 -31.761841, -52.282767 -31.762556, -52.281514 -31.762836, -52.281137 -31.762837, -52.281548 -31.761066, -52.27955 -31.760781, -52.279204 -31.760192, -52.279374 -31.759845, -52.281644 -31.760083, -52.281661 -31.758878, -52.282429 -31.758618, -52.283429 -31.758555, -52.285012 -31.757492, -52.285885 -31.757009, -52.286572 -31.756138, -52.287117 -31.754542, -52.287149 -31.75371, -52.295117 -31.752404, -52.297618 -31.75318, -52.300376 -31.754849, -52.289124 -31.7626, -52.287905 -31.76097, -52.287146 -31.760328, -52.286474 -31.759979))",Risco Alto,
"POLYGON ((-52.348836 -31.789953, -52.353214 -31.786962, -52.35322 -31.786848, -52.353974 -31.786164, -52.354084 -31.786395, -52.354629 -31.786054, -52.355325 -31.785505, -52.355634 -31.785222, -52.356321 -31.784461, -52.356709 -31.784035, -52.356628 -31.783871, -52.356714 -31.783784, -52.356832 -31.784051, -52.355747 -31.785132, -52.355862 -31.785301, -52.35509 -31.785909, -52.355173 -31.785947, -52.354819 -31.786184, -52.354707 -31.786221, -52.354654 -31.786287, -52.35459 -31.786388, -52.354493 -31.78639, -52.354407 -31.786434, -52.354338 -31.786524, -52.354275 -31.78661, -52.354146 -31.786649, -52.354095 -31.786649, -52.353969 -31.786747, -52.353796 -31.786899, -52.353276 -31.787231, -52.353104 -31.787355, -52.353079 -31.787408, -52.352623 -31.787688, -52.352406 -31.787824, -52.352447 -31.787871, -52.352328 -31.787915, -52.352299 -31.787887, -52.352026 -31.788081, -52.351937 -31.78814, -52.351547 -31.788422, -52.351456 -31.788498, -52.351359 -31.788569, -52.35107 -31.788763, -52.350838 -31.788903, -52.350755 -31.788963, -52.350646 -31.789063, -52.350516 -31.789163, -52.350361 -31.789199, -52.350353 -31.789238, -52.350304 -31.789279, -52.350185 -31.789353, -52.350072 -31.789415, -52.350032 -31.789491, -52.34989 -31.789571, -52.349607 -31.789725, -52.349414 -31.78979, -52.349171 -31.789885, -52.349025 -31.789969, -52.348836 -31.789953))",Evacuação Imediata,
"POLYGON ((-52.359328 -31.775834, -52.359003 -31.775414, -52.358542 -31.774928, -52.358215 -31.774554, -52.358166 -31.774338, -52.358212 -31.774035, -52.358444 -31.773693, -52.358632 -31.773469, -52.359185 -31.773767, -52.359319 -31.773676, -52.35946 -31.773416, -52.359545 -31.773404, -52.3596 -31.77318, -52.359604 -31.773017, -52.359697 -31.772961, -52.359774 -31.772882, -52.359912 -31.772948, -52.359985 -31.773253, -52.359999 -31.773349, -52.359963 -31.773655, -52.36018 -31.774057, -52.359719 -31.774883, -52.359328 -31.775834))",Risco Médio,
